,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
91,Songjianghe,54,CN,1573863378,69,42.18,127.48,17.94,3.44
92,Tuktoyaktuk,90,CA,1573863102,76,69.44,-133.03,-4.0,8.05
93,Chalakudi,75,IN,1573863378,94,10.3,76.34,78.8,4.7
94,Cedar City,1,US,1573863377,24,37.68,-113.06,60.01,9.17
95,Mahebourg,75,MU,1573863379,69,-20.41,57.7,75.2,12.75
96,Hilo,90,US,1573863200,62,19.71,-155.08,84.2,9.17
97,Kalakamati,71,BW,1573863379,52,-20.59,27.31,68.41,6.96
98,Murray Bridge,33,AU,1573863379,53,-35.12,139.28,66.0,1.99
99,Tasiilaq,66,GL,1573863214,65,65.61,-37.64,32.0,10.29
100,Cape Town,20,ZA,1573863119,77,-33.93,18.42,64.99,18.34
101,Oussouye,100,SN,1573863379,74,12.49,-16.54,78.8,2.24
102,Novyy Urengoy,100,RU,1573863380,93,66.08,76.63,-7.53,18.77
103,Mount Gambier,90,AU,1573863380,71,-37.83,140.78,53.6,11.41
104,Basak,90,PH,1573863380,78,10.29,123.96,82.4,6.93
105,Namibe,3,AO,1573863346,78,-15.19,12.15,71.46,15.57
106,Taksimo,100,RU,1573863380,83,56.36,114.84,-18.06,1.63
107,Raybag,5,IN,1573863380,92,16.48,74.78,68.99,6.93
108,Mataura,80,NZ,1573863380,90,-46.19,168.86,52.0,3.0
109,Lompoc,75,US,1573863233,72,34.64,-120.46,68.0,4.7
110,Meadow Lake,90,CA,1573863381,79,54.13,-108.44,26.6,2.44
111,San Cristobal,52,HN,1573863381,90,14.68,-86.92,68.23,4.81
112,Punta Arenas,40,CL,1573863213,54,-53.16,-70.91,53.6,14.99
113,Ayagoz,99,KZ,1573863381,91,47.96,80.43,-1.75,10.29
114,Rio Branco,75,BR,1573863381,100,-9.98,-67.82,71.6,4.7
115,Nuuk,100,GL,1573863102,79,64.17,-51.74,28.4,16.11
116,Santa Cruz de Tenerife,75,ES,1573863382,87,28.47,-16.25,68.0,11.41
117,Ordzhonikidze,20,UA,1573863382,63,44.96,35.36,53.98,9.78
118,Kununurra,54,AU,1573863382,66,-15.77,128.74,86.0,1.12
119,Batemans Bay,96,AU,1573863382,59,-35.71,150.18,64.99,5.99
120,Ciudad Guayana,25,VE,1573863382,91,8.32,-62.69,75.6,3.83
121,Kutum,5,SD,1573863379,37,14.2,24.66,69.91,7.49
122,Berkakit,100,RU,1573863382,95,56.58,124.77,-15.45,17.67
123,Monrovia,91,LR,1573863382,82,6.33,-10.8,79.72,6.78
124,Sondrio,90,IT,1573863382,100,46.17,9.88,45.0,3.24
125,Clyde River,75,CA,1573863104,67,70.47,-68.59,19.4,11.41
126,Kavieng,29,PG,1573863383,70,-2.57,150.8,84.38,6.89
127,San Quintin,100,PH,1573863383,78,17.54,120.52,77.0,4.56
128,Myatlevo,100,RU,1573863383,92,54.9,35.68,30.2,11.18
129,Airai,65,TL,1573863383,25,-8.93,125.41,82.53,8.23
130,Saskylakh,83,RU,1573863383,96,71.97,114.09,-13.07,6.91
131,Tarata,86,PE,1573863383,72,-17.47,-70.03,62.6,6.93
132,Shurugwi,71,ZW,1573863383,83,-19.67,30.0,65.86,4.79
133,Pimentel,17,BR,1573863384,70,-3.7,-45.5,79.93,6.02
134,Mar del Plata,0,AR,1573863384,23,-46.43,-67.52,63.0,28.05
135,Narsaq,40,GL,1573863384,58,60.91,-46.05,24.8,10.29
136,Kunya,69,NG,1573863384,25,12.22,8.53,79.2,3.65
137,Aksu,2,KZ,1573863384,83,52.04,76.93,-5.8,6.71
138,Sao Filipe,74,CV,1573863099,78,14.9,-24.5,72.23,11.74
139,Bethel,40,US,1573863384,66,60.79,-161.76,15.8,21.92
140,Grindavik,40,IS,1573863384,74,63.84,-22.43,35.6,13.87
141,Maragogi,38,BR,1573863385,79,-9.01,-35.22,78.64,16.28
142,Avarua,27,CK,1573863385,74,-21.21,-159.78,80.6,13.87
143,Benguela,86,AO,1573863385,77,-12.58,13.4,76.68,2.98
144,Pirapo,0,PY,1573863385,61,-26.85,-55.53,64.51,3.51
145,Tiksi,24,RU,1573863385,98,71.64,128.87,-8.57,2.59
146,Kudahuvadhoo,100,MV,1573863385,72,2.67,72.89,82.35,2.93
147,Soe,90,EE,1573863385,100,57.91,26.05,39.99,6.93
148,Skibbereen,20,IE,1573863386,63,51.55,-9.27,35.6,11.41
149,Mount Isa,9,AU,1573863386,10,-20.73,139.49,91.4,17.22
150,Butaritari,100,KI,1573863098,71,3.07,172.79,82.49,3.18
151,Westport,1,US,1573863386,45,41.14,-73.36,48.99,13.98
152,Strezhevoy,94,RU,1573863386,83,60.73,77.6,-5.8,8.95
153,Mayo,90,CA,1573863386,71,63.59,-135.9,3.2,9.17
154,Hobart,75,AU,1573863223,37,-42.88,147.33,55.99,26.4
155,Nome,1,US,1573863387,66,30.04,-94.42,55.0,3.36
156,Nerchinskiy Zavod,0,RU,1573863387,63,51.31,119.61,-5.06,4.07
157,Hambantota,35,LK,1573863387,81,6.12,81.12,80.2,9.42
158,Shadrinsk,100,RU,1573863387,90,56.09,63.63,24.73,12.95
159,Maniitsoq,100,GL,1573863096,91,65.42,-52.9,28.47,12.01
160,Hun,68,BE,1573863387,92,50.34,4.87,37.4,5.82
161,Enshi,77,CN,1573863387,84,30.29,109.48,51.42,1.25
162,Baruun-Urt,100,MN,1573863388,75,46.68,113.28,12.11,7.9
163,Worland,1,US,1573863388,74,44.02,-107.96,44.6,1.5
164,Bud,28,NO,1573863388,74,62.91,6.91,33.8,8.05
165,Simplicio Mendes,55,BR,1573863388,33,-7.85,-41.91,83.25,2.75
166,Evensk,58,RU,1573863388,71,61.92,159.24,16.29,11.81
167,Neuquen,51,AR,1573863155,26,-38.95,-68.06,80.6,19.46
168,Castro,98,CL,1573863388,81,-42.48,-73.76,53.6,9.17
169,Naliya,0,IN,1573863388,72,23.26,68.83,72.46,3.71
170,Pozega,100,RS,1573863389,54,43.85,20.05,57.2,4.7
171,Iglesias,20,ES,1573863389,95,42.3,-3.99,35.01,5.23
172,Lakhisarai,0,IN,1573863389,64,25.18,86.09,64.85,5.08
173,Filadelfia,2,PY,1573863389,29,-22.35,-60.04,84.11,8.79
174,Kenai,90,US,1573863217,74,60.55,-151.26,39.0,17.22
175,Shingu,0,JP,1573863389,58,33.72,135.99,57.2,4.7
176,Rocha,0,UY,1573863389,91,-34.48,-54.34,54.19,3.13
177,Porto Novo,75,BR,1573863290,82,-23.68,-45.44,64.4,2.24
178,Brylivka,52,UA,1573863390,99,46.42,33.15,44.01,6.33
179,Oriximina,99,BR,1573863390,75,-1.77,-55.87,81.79,5.12
180,Hithadhoo,59,MV,1573863390,74,-0.6,73.08,82.74,9.44
181,Nanortalik,75,GL,1573863390,69,60.14,-45.24,32.07,15.93
182,Ambilobe,53,MG,1573863390,80,-13.19,49.05,77.58,8.25
183,Yumen,48,CN,1573863390,36,40.29,97.04,32.7,19.26
184,Chicago,1,US,1573863391,69,41.88,-87.62,37.4,13.06
185,Hamilton,75,CA,1573863314,92,43.26,-79.87,37.4,9.17
186,Miri,34,NG,1573863391,31,10.31,9.75,75.69,5.28
187,Tual,96,ID,1573863391,72,-5.67,132.75,82.44,2.19
188,Missoula,90,US,1573863337,86,46.87,-114.0,39.0,6.67
189,Luderitz,33,NA,1573863280,87,-26.65,15.16,60.8,13.87
190,Crucea,90,RO,1573863391,100,47.35,25.61,46.99,5.82
191,Puerto Ayora,75,EC,1573863273,69,-0.74,-90.35,75.2,8.05
192,Fairbanks,90,US,1573863099,55,64.84,-147.72,6.8,9.17
193,Ribeira Grande,84,PT,1573863392,69,38.52,-28.7,58.8,4.38
194,Kahului,40,US,1573863181,58,20.89,-156.47,87.8,11.41
195,Opuwo,62,NA,1573863392,24,-18.06,13.84,70.32,6.26
196,Kangaba,62,ML,1573863392,30,11.94,-8.41,78.13,2.53
197,Rio Gallegos,40,AR,1573863133,51,-51.62,-69.22,59.0,12.75
198,Nikolskoye,75,RU,1573863393,80,59.7,30.79,39.2,8.95
199,Koumac,0,NC,1573863393,41,-20.56,164.28,83.16,6.96
200,Esperance,92,AU,1573863393,72,-33.86,121.89,60.8,11.41
201,Dong Xoai,89,VN,1573863126,92,11.53,106.92,72.88,1.97
202,Acari,30,BR,1573863393,82,-6.44,-36.64,69.84,21.68
203,Quelimane,75,MZ,1573863393,88,-17.88,36.89,80.6,3.36
204,Grand Gaube,75,MU,1573863393,69,-20.01,57.66,75.2,12.75
205,Kangaatsiaq,100,GL,1573863393,76,68.31,-53.46,30.87,25.46
206,Yenagoa,100,NG,1573863394,94,4.92,6.26,76.15,3.31
207,Victoria,75,BN,1573863111,94,5.28,115.24,78.8,4.94
208,Awjilah,26,LY,1573863394,43,29.14,21.3,58.6,7.67
209,Jalu,26,LY,1573863394,43,29.03,21.55,58.6,7.67
210,Ulladulla,90,AU,1573863394,67,-35.36,150.48,64.99,8.05
211,Necochea,93,AR,1573863394,66,-38.55,-58.74,73.0,11.01
212,Buenos Aires,33,AR,1573863394,65,-34.61,-58.44,79.0,9.17
213,Bambous Virieux,75,MU,1573863223,69,-20.34,57.76,75.2,12.75
214,Longyearbyen,75,NO,1573863105,64,78.22,15.63,33.8,20.8
215,Barra da Estiva,100,BR,1573863395,58,-13.63,-41.33,71.19,3.71
216,Ancona,1,US,1573863395,74,41.04,-88.87,36.0,4.7
217,Hami,98,CN,1573863131,38,42.84,93.51,32.02,13.13
218,Kremenki,50,RU,1573863395,100,54.51,48.87,24.8,8.41
219,Along,2,IN,1573863395,88,28.17,94.8,58.91,3.29
220,Iqaluit,90,CA,1573863212,57,63.75,-68.52,19.4,8.05
221,Marsa Matruh,0,EG,1573863396,63,31.35,27.25,71.42,11.83
222,Key West,90,US,1573863396,55,47.93,-96.78,33.8,10.29
223,Chaiya,71,IN,1573863396,61,29.28,74.48,68.05,5.64
224,Kirakira,100,SB,1573863396,91,-10.46,161.92,76.39,9.69
225,Geraldton,5,CA,1573863108,59,49.72,-86.95,1.4,2.24
226,Saint-Leu,100,RE,1573863397,83,-21.15,55.28,73.4,3.36
227,Bismarck,90,US,1573863339,86,46.81,-100.78,33.8,12.75
228,Charters Towers,21,AU,1573863397,33,-20.07,146.27,87.8,9.69
229,Tsabong,0,BW,1573863397,17,-26.02,22.4,67.78,7.11
230,Niamey,50,NE,1573863397,20,13.52,2.11,82.4,7.43
231,Dunedin,96,NZ,1573863397,39,-45.87,170.5,70.0,8.01
232,Ereymentau,3,KZ,1573863398,59,51.62,73.1,2.48,6.67
233,Ostrovnoy,65,RU,1573863398,88,68.05,39.51,23.5,20.22
234,Henties Bay,25,NA,1573863398,91,-22.12,14.28,60.01,5.01
235,Atambua,0,ID,1573863398,50,-9.11,124.89,85.86,1.83
236,Mercedes,0,UY,1573863398,54,-33.25,-58.03,73.0,3.0
237,Cayenne,20,GF,1573863399,88,4.94,-52.33,77.0,6.38
238,Saint Marys,90,US,1573863399,92,41.43,-78.56,33.8,6.93
239,Adrar,0,DZ,1573863399,24,27.87,-0.29,68.0,11.41
240,Naze,100,NG,1573863399,95,5.43,7.07,75.36,3.65
241,San Felipe,0,CL,1573863399,37,-32.75,-70.73,62.11,4.92
242,Nouadhibou,24,MR,1573863399,72,20.93,-17.03,68.0,19.46
243,Calabozo,45,VE,1573863109,79,8.92,-67.43,78.15,4.43
244,Barra Patuca,27,HN,1573863399,74,15.8,-84.28,82.94,11.97
245,Khani,0,GE,1573863400,50,41.96,42.96,55.4,23.04
246,Angoche,84,MZ,1573863400,76,-16.23,39.91,78.28,3.44
247,Padang,97,ID,1573863400,92,-0.92,100.36,69.58,2.24
248,Nadym,100,RU,1573863400,94,65.53,72.51,4.62,22.7
249,Bonthe,100,SL,1573863400,85,7.53,-12.5,78.98,3.71
250,Upernavik,100,GL,1573863400,94,72.79,-56.15,23.13,10.98
251,Careiro da Varzea,20,BR,1573863401,83,-3.2,-59.81,80.6,3.36
252,Cherskiy,100,RU,1573863401,86,68.75,161.3,7.29,1.41
253,Paamiut,92,GL,1573863401,66,61.99,-49.67,30.33,8.16
254,Nishihara,20,JP,1573863401,66,35.74,139.53,57.99,1.12
255,Zinder,48,NE,1573863401,16,13.81,8.99,79.54,9.71
256,Palana,100,RU,1573863401,73,59.08,159.95,30.87,22.15
257,Media Luna,71,BO,1573863402,48,-21.67,-64.63,66.2,5.82
258,Kruisfontein,26,ZA,1573863203,92,-34.0,24.73,62.8,7.78
259,Char Bhadrasan,0,BD,1573863402,83,23.32,90.22,73.4,2.33
260,Wanaka,99,NZ,1573863402,77,-44.7,169.14,59.0,1.99
261,Coquimbo,20,CL,1573863402,87,-29.95,-71.34,59.0,6.93
262,Changtu,13,CN,1573863402,42,42.78,124.11,19.22,5.44
263,Lazaro Cardenas,5,MX,1573863134,54,28.39,-105.62,60.01,8.05
264,Wahiawa,75,US,1573863403,69,21.5,-158.02,86.0,8.05
265,Leningradskiy,0,RU,1573863403,86,69.38,178.42,17.87,12.28
266,Puerto Ayacucho,40,CO,1573863403,74,5.66,-67.63,84.2,2.17
267,Pilar do Sul,87,BR,1573863403,96,-23.81,-47.72,59.27,1.68
268,Cockburn Town,75,TC,1573863403,74,21.46,-71.14,80.6,5.82
269,Igarka,81,RU,1573863403,96,67.47,86.57,-23.62,8.68
270,Nalut,100,LY,1573863403,26,31.86,10.98,63.28,13.56
271,Grand-Santi,83,GF,1573863404,94,4.27,-54.38,73.89,2.77
272,Vryburg,0,ZA,1573863404,22,-26.96,24.73,67.05,5.95
273,Mahibadhoo,100,MV,1573863144,82,3.78,72.97,79.97,8.5
274,Kaeo,2,NZ,1573863404,56,-35.1,173.78,75.0,7.0
275,Labuhan,100,ID,1573863404,63,-2.54,115.51,81.39,0.92
276,Mahon,20,IE,1573863404,93,51.89,-8.4,37.0,11.41
277,Te Anau,100,NZ,1573863110,82,-45.41,167.72,49.51,8.5
278,Svetlogorsk,75,RU,1573863405,58,53.14,59.15,30.2,6.71
279,Severo-Kurilsk,68,RU,1573863405,72,50.68,156.12,24.98,9.06
280,Mandalgovi,86,MN,1573863131,32,45.76,106.27,28.26,16.6
281,Ibanesti,33,RO,1573863405,93,46.77,24.93,43.0,4.7
282,Sonoita,1,US,1573863405,24,31.68,-110.66,82.4,6.93
283,Maceio,20,BR,1573863111,83,-9.67,-35.74,75.2,5.82
284,Kihei,40,US,1573863405,58,20.76,-156.45,87.8,11.41
285,Belmonte,8,PT,1573863406,93,40.36,-7.35,42.01,4.34
286,Regeneracao,0,BR,1573863406,47,-6.24,-42.69,80.6,1.9
287,Florianopolis,38,BR,1573863340,60,-27.6,-48.55,72.0,9.17
288,Cardenas,20,MX,1573863406,37,27.62,-110.24,84.2,9.17
289,Montepuez,86,MZ,1573863406,60,-13.13,39.0,76.51,7.16
290,Saryg-Sep,94,RU,1573863406,88,51.49,95.55,-9.9,2.64
291,Lebu,75,ET,1573863406,71,8.96,38.73,55.4,3.36
292,Ossora,100,RU,1573863406,81,59.24,163.07,33.37,29.35
293,Yakeshi,0,CN,1573863407,87,49.28,120.73,-3.8,7.27
294,Qaqortoq,40,GL,1573863407,58,60.72,-46.03,24.8,10.29
295,Sibolga,99,ID,1573863407,94,1.74,98.78,71.53,1.79
296,Preobrazheniye,0,RU,1573863407,33,42.9,133.91,23.27,17.74
297,Camacha,75,PT,1573863407,72,33.08,-16.33,62.6,16.11
298,Pangnirtung,90,CA,1573863407,67,66.15,-65.72,21.2,6.93
299,Rosetta,40,EG,1573863407,64,31.4,30.42,71.6,8.05
300,Talnakh,23,RU,1573863408,76,69.49,88.39,-11.2,4.47
301,Kyshtovka,69,RU,1573863408,93,56.56,76.62,-1.26,9.91
302,Mulege,88,MX,1573863408,48,26.88,-111.98,77.02,3.91
303,Karasburg,0,NA,1573863408,47,-28.01,18.75,65.88,7.87
304,Port-Cartier,90,CA,1573863408,100,50.03,-66.88,24.8,5.82
305,Morant Bay,75,JM,1573863408,61,17.88,-76.41,82.4,4.7
306,Agutaya,100,PH,1573863409,79,11.15,120.94,82.11,8.32
307,Kieta,20,PG,1573863409,70,-6.22,155.63,82.65,3.4
308,Bereda,40,ES,1573863409,87,43.27,-7.54,48.2,9.17
309,Banepa,40,NP,1573863409,100,27.63,85.52,53.6,3.36
310,Inta,100,RU,1573863409,96,66.04,60.13,31.8,24.58
311,Arco,63,US,1573863409,44,43.64,-113.3,45.73,9.93
312,Salvacion,40,PH,1573863410,79,14.63,120.99,84.2,1.12
313,Araxa,98,BR,1573863410,100,-19.59,-46.94,68.0,3.36
314,Vardo,5,US,1573863410,79,39.62,-77.74,42.8,5.41
315,The Valley,20,AI,1573863410,74,18.22,-63.06,81.0,4.7
316,Idenao,20,CM,1573863410,94,4.25,9.0,75.2,5.82
317,Fort Nelson,75,CA,1573863410,78,58.81,-122.69,10.4,4.7
318,Mayen,100,DE,1573863410,93,50.33,7.22,39.99,3.36
319,Sept-Iles,90,CA,1573863300,100,50.2,-66.38,24.8,5.82
320,Carbondale,1,US,1573863199,52,38.82,-95.69,50.0,9.17
321,Constitucion,5,MX,1573863411,39,23.99,-104.67,64.4,4.7
322,Am Timan,61,TD,1573863411,27,11.04,20.28,76.77,4.97
323,Maneromango,20,TZ,1573863411,88,-7.2,38.78,80.6,11.41
324,Hobyo,1,SO,1573863340,79,5.35,48.53,77.54,12.93
325,Bouna,47,CI,1573863412,54,9.27,-3.0,80.04,2.64
326,Kavaratti,53,IN,1573863412,74,10.57,72.64,81.54,9.91
327,Oranjemund,71,ZA,1573863412,90,-28.55,16.43,62.13,10.69
328,Brae,4,GB,1573863123,93,60.4,-1.35,41.0,3.36
329,Atbasar,20,KZ,1573863412,80,51.81,68.36,7.52,8.86
330,Tateyama,75,JP,1573863412,76,36.66,137.31,52.0,2.24
331,San Patricio,0,PY,1573863412,55,-26.98,-56.83,65.53,5.68
332,Teahupoo,20,PF,1573863412,66,-17.83,-149.27,84.2,11.41
333,Christiana,0,ZA,1573863413,37,-27.91,25.16,64.83,8.03
334,Jacareacanga,88,BR,1573863413,93,-6.22,-57.76,75.0,2.84
335,Tuatapere,100,NZ,1573863130,90,-46.13,167.69,52.0,3.0
336,Srednekolymsk,100,RU,1573863413,96,67.46,153.71,3.22,4.9
337,Vila Franca do Campo,75,PT,1573863120,63,37.72,-25.43,60.8,5.82
338,Gat,89,SN,1573863413,88,14.69,-16.54,73.4,4.7
339,Sao Felix do Xingu,74,BR,1573863414,73,-6.64,-51.99,77.25,1.32
340,Ullal,75,IN,1573863414,88,12.8,74.85,77.0,4.7
341,Shimodate,20,JP,1573863414,76,36.3,139.98,62.01,2.24
342,Porto Velho,75,BR,1573863118,83,-8.75,-63.87,77.0,2.24
343,Huilong,100,CN,1573863414,70,31.15,106.5,58.06,1.52
344,Qandala,0,SO,1573863414,71,11.47,49.87,75.4,3.22
345,Aguimes,75,ES,1573863414,77,27.91,-15.45,64.4,16.11
346,Neiafu,40,TO,1573863415,69,-18.65,-173.98,80.6,10.29
347,Ponta Delgada,75,PT,1573863415,63,37.73,-25.67,60.8,5.82
348,Port Hardy,90,CA,1573863118,93,50.7,-127.42,50.0,3.36
349,Kaabong,0,UG,1573863415,66,3.51,34.14,68.41,9.62
350,Rolla,1,US,1573863255,35,37.95,-91.77,42.8,3.36
351,Kaz,100,RU,1573863415,97,53.11,87.55,-6.32,1.68
352,Manggar,85,ID,1573863416,65,-2.88,108.27,83.12,5.21
353,Ornskoldsvik,100,SE,1573863416,92,63.29,18.72,19.4,2.42
354,Nanlong,54,CN,1573863416,76,31.35,106.05,56.97,1.39
355,Wakkanai,75,JP,1573863416,58,45.41,141.67,24.8,28.86
356,Taoudenni,60,ML,1573863416,19,22.68,-3.98,73.33,11.16
357,Pacifica,20,US,1573863288,72,37.61,-122.49,69.8,18.34
358,Tarkwa,9,GH,1573863417,95,5.31,-1.99,74.21,1.28
359,Hohhot,33,CN,1573863417,79,40.81,111.65,19.4,6.71
360,Waiouru,74,NZ,1573863417,53,-39.48,175.67,63.28,13.71
361,Puerto El Triunfo,40,SV,1573863417,83,13.27,-88.55,86.0,3.36
362,Kroya,88,ID,1573863417,52,-6.5,108.06,81.37,6.06
363,Cidreira,0,BR,1573863417,79,-30.17,-50.22,68.72,14.72
364,Sehithwa,73,BW,1573863418,13,-20.47,22.7,79.11,6.33
365,Ixtapa,75,MX,1573863418,74,20.71,-105.21,82.4,4.7
366,Kichera,24,RU,1573863418,76,55.93,110.1,-16.01,7.07
367,Meulaboh,93,ID,1573863418,80,4.14,96.13,79.65,7.81
368,Bahia Blanca,52,AR,1573863276,27,-38.72,-62.27,77.5,7.76
369,Royan,90,FR,1573863418,93,45.62,-1.03,46.99,6.93
370,Prince Rupert,75,CA,1573863418,87,54.32,-130.32,50.0,8.05
371,Nehe,0,CN,1573863418,28,48.48,124.88,8.85,9.57
372,Nanakuli,75,US,1573863419,69,21.39,-158.15,86.0,8.05
373,Nabire,76,ID,1573863419,63,-3.36,135.5,85.8,0.83
